publishedAt,authorDisplayName,comment,likeCount
2026-06-16T06:35:40Z,@aims1504,"Ini program berita DIPO INVESTIGASI baru tayang di kompas tv yaa
Maaf kalo di tv one namanya FAKTA
Bagus keren mengungkap kasus yg tersembunyi dan disuguhkan dengan apik dengan gaya bahasa yg ringan mudah dipahami oleh Host DIPO NURBAHAGIA.",0
2026-06-16T06:35:25Z,@rudihartono007,Intinya di negeri ini duit dan duit. Yg gak berpihak sikat dg segala cara yg halus dan kasar utk menyelamatkan diri. Hebattttt,0
2026-06-16T06:30:52Z,@SoekirnoRidwan,"Tujuan program bagus,pengelolahan yg carut marut dr orang yg dipercaya,sehingga byk yg jadi korban😅😅😅",1
2026-06-16T06:29:45Z,@muhamadsafidiarwaa3486,Buat apa beli motor tu.Betol2 pembaziran rupiah rakyat😓,1
2026-06-16T06:25:52Z,@DzarkasiDzarkasi,Jadi pejabat di Indonesia sangat mudah kl cari duit milyaran.  Bahkan yg lama di pemerintahan bisa triliun.  Rakus menggarong pajak rakyat.,1
2026-06-16T06:19:59Z,@desipurnamasari8921,"TDK terkejut, itu biasa 
Yg salah bukan kucing yang ambil ikan dipiring , yg salah orang yang tidak ditutup ikan dipiring dgn baskom lalu di tindih palu kuat.jadi aman 
Yg salah yg berhak mensahkan undang-undang tentang koruptor 
Jadi koruptor selalu bermunculan dengan senang hati dan semua nya",0
2026-06-16T06:18:21Z,@UpzLaughs,Prabowo sebagai panglima besar MBG.,0
2026-06-16T06:16:28Z,@SugionoJajagan,KLO DAK DI DOR DAK  KAPOK,4
2026-06-16T06:16:19Z,@muchammadxanandy6219,Boni sampai tuntas kasus Korupsi MBG mereka orang-orang yang tidak bermoral menghalalkan segala cara untuk kepentingan pribadi dan kelompoknya saja,3
2026-06-16T06:14:12Z,@SugionoJajagan,MBG  BUKAN UNGGULAN TAPI  KEHANCURAM,9
2026-06-16T06:12:29Z,@sumartonomr,"tindakan tegas, segera basmi tidak pandang bulu  kembalikan yg berhak hukum yg melanggar tidak pandang bulu.umumkan nama yg melanggar  biar rakyat paham ❤🙏👍",3
2026-06-16T06:11:26Z,@DekiDiki-t2o,Bohong aja cuman omon omon saja,0
2026-06-16T06:11:08Z,@agusisrofi4434,enak ya korupsi tliyunan dipenjara cuma 2thn,3
2026-06-16T06:09:23Z,@AgusSumaryono-je5nk,"Zulkifli nggak respon atas protes mahasiswa terkait mbg,kdmp",1
2026-06-16T06:09:14Z,@setiyosetiyo9954,Gimana rakyat mau makmur..pejabatnya aja banyak yg koruptor..penjajah negara sendiri..bisa hancur negri ini😢😢😢,3
2026-06-16T06:08:56Z,@DekiDiki-t2o,Stop aja MBG sangat boros anggaran,1
2026-06-16T06:01:47Z,@baigio-s,"Baguslah ayo bongkar semuanya, yang terlibat miskinkan dan hukum seberat beratnya.",14
2026-06-16T06:01:32Z,@putriningsih3212,orang m jadi benjabat. tapi tidak amanah,0
2026-06-16T05:53:37Z,@tatigunarti5566,"Saya tidak mau uang rakyat dicuri 😮😢
Yang nyuri siapa pak😢",5
2026-06-16T05:49:08Z,@Mr.Joet69,hukuman nya cuma 2 : hukum mati atau nepalkan,6
2026-06-16T05:44:09Z,@FatkhurRiza-w9j,"Nunggu setahun baru di eksekusi,keburu kenyang korupsinya 😂😂😂",1
2026-06-16T05:42:05Z,@Probolinggo.Digital.Pratama,aneh dana guede nyampeknya kok remah kriwian,0
2026-06-16T05:41:36Z,@wanfrestealemon9119,Omon omon aja ni si wowo,0
2026-06-16T05:38:47Z,@Probolinggo.Digital.Pratama,Kampanye mantap,0
2026-06-16T05:38:10Z,@Tris212-j4f,Setelah jd napi ttp lg di angkat jd bawahannya😮,1
2026-06-16T05:36:52Z,@muhrismanadriatma4651,mau diapami itu motor,0
2026-06-16T05:32:09Z,@bagasbagus7412,"Wajar disebut proyek bagi² uang rakyat dari anggota DPR,kepolisian,Tni,pejabat negara mengelola dapur mbg 
Maka setiap ada masalah bingung mau mengadu ke siapa",1
2026-06-16T05:30:55Z,@yucepurnamawati182,Bongkar semua,6
2026-06-16T05:21:46Z,@orisamaharaniocaoca8561,Baru ada di indonesia maling diborgol kok PD,7
2026-06-16T05:20:21Z,@orisamaharaniocaoca8561,Maling kok bangga. Ngaku byk temanya. Berarti pemerintahsn prabowo maling semua,0
2026-06-16T05:12:46Z,@barungonten3266,Begu dadan dari awal sudah bisa dilihat geurakgeurik korupsinya😂😂😂,7
2026-06-16T05:03:36Z,@endangwidayati5473,Sebutin saja nama2nya yg menikmati uang nggk halal,4
